ART,PROJ,CHG,DIST,QE,TOF,DRIFT,ANGLE,VTERM
105,HE,5,2600,144.0,9.1,0.2,9.9,257.0
105,HE,5,2700,151.0,9.5,0.3,10.5,253.0
105,HE,5,2800,158.0,10.0,0.3,11.0,248.0
105,HE,5,2900,166.0,10.4,0.3,11.6,244.0
105,HE,5,3000,173.0,10.8,0.3,12.2,241.0
105,HE,5,3100,181.0,11.3,0.4,12.8,236.0
105,HE,5,3200,188.0,11.7,0.4,13.4,232.0
105,HE,5,3400,211.0,12.9,0.5,15.0,221.0
105,HE,5,4200,291.0,17.1,0.8,21.3,187.0
105,HE,6,200,89.0,6.7,0.1,6.1,283.0
105,HE,6,300,89.0,6.7,0.1,6.1,283.0
105,HE,6,400,89.0,6.7,0.1,6.1,283.0
105,HE,6,500,89.0,6.7,0.1,6.1,283.0
105,HE,6,600,89.0,6.7,0.1,6.1,283.0
105,HE,6,700,89.0,6.7,0.1,6.1,283.0
105,HE,6,800,89.0,6.7,0.1,6.1,283.0
105,HE,6,900,89.0,6.7,0.1,6.1,283.0
105,HE,6,1000,89.0,6.7,0.1,6.1,283.0
105,HE,6,1100,89.0,6.7,0.1,6.1,283.0
105,HE,6,1200,89.0,6.7,0.1,6.1,283.0
105,HE,6,1300,89.0,6.7,0.1,6.1,283.0
105,HE,6,1400,89.0,6.7,0.1,6.1,283.0
105,HE,6,1500,89.0,6.7,0.1,6.1,283.0
105,HE,6,1600,89.0,6.7,0.1,6.1,283.0
105,HE,6,1700,89.0,6.7,0.1,6.1,283.0
105,HE,6,1800,89.0,6.7,0.1,6.1,283.0
105,HE,6,1900,89.0,6.7,0.1,6.1,283.0
105,HE,6,2000,89.0,6.7,0.1,6.1,283.0
105,HE,6,2100,89.0,6.7,0.1,6.1,283.0
105,HE,6,2200,89.0,6.7,0.1,6.1,283.0
105,HE,6,2300,90.0,6.8,0.1,6.2,282.0
105,HE,6,2400,95.0,7.1,0.1,6.6,279.0
105,HE,6,2500,100.0,7.5,0.2,7.0,274.0
105,HE,6,2600,105.0,7.8,0.2,7.4,271.0
105,HE,6,2700,111.0,8.2,0.2,7.9,267.0
105,HE,6,2800,116.0,8.6,0.2,8.3,263.0
105,HE,6,2900,121.0,8.9,0.2,8.8,260.0
105,HE,6,3000,127.0,9.3,0.2,9.2,255.0
105,HE,6,3100,132.0,9.7,0.3,9.7,251.0
105,HE,6,3200,138.0,10.1,0.3,10.2,247.0
105,HE,6,3300,144.0,10.5,0.3,10.7,243.0
105,HE,6,3400,150.0,10.9,0.3,11.2,240.0
105,HE,6,3500,156.0,11.3,0.3,11.7,236.0
105,HE,6,3600,162.0,11.7,0.4,12.2,232.0
105,HE,6,3700,169.0,12.1,0.4,12.8,228.0
105,HE,6,3800,175.0,12.5,0.4,13.3,225.0
105,HE,6,4100,288.0,17.6,0.9,20.4,183.0
105,HE,6,4700,305.0,19.2,1.0,22.7,172.0
105,HE,7,200,89.0,8.1,0.2,6.7,268.0
105,HE,7,300,89.0,8.1,0.2,6.7,268.0
105,HE,7,400,89.0,8.1,0.2,6.7,268.0
105,HE,7,500,89.0,8.1,0.2,6.7,268.0
105,HE,7,600,89.0,8.1,0.2,6.7,268.0
105,HE,7,700,89.0,8.1,0.2,6.7,268.0
105,HE,7,800,89.0,8.1,0.2,6.7,268.0
105,HE,7,900,89.0,8.1,0.2,6.7,268.0
105,HE,7,1000,89.0,8.1,0.2,6.7,268.0
105,HE,7,1100,89.0,8.1,0.2,6.7,268.0
105,HE,7,1200,89.0,8.1,0.2,6.7,268.0
105,HE,7,1300,89.0,8.1,0.2,6.7,268.0
105,HE,7,1400,89.0,8.1,0.2,6.7,268.0
105,HE,7,1500,89.0,8.1,0.2,6.7,268.0
105,HE,7,1600,89.0,8.1,0.2,6.7,268.0
105,HE,7,1700,89.0,8.1,0.2,6.7,268.0
105,HE,7,1800,89.0,8.1,0.2,6.7,268.0
105,HE,7,1900,89.0,8.1,0.2,6.7,268.0
105,HE,7,2000,89.0,8.1,0.2,6.7,268.0
105,HE,7,2100,89.0,8.1,0.2,6.7,268.0
105,HE,7,2200,89.0,8.1,0.2,6.7,268.0
105,HE,7,2300,89.0,8.1,0.2,6.7,268.0
105,HE,7,2400,89.0,8.1,0.2,6.7,268.0
105,HE,7,2500,89.0,8.1,0.2,6.7,268.0
105,HE,7,2600,89.0,8.1,0.2,6.7,268.0
105,HE,7,2700,89.0,8.1,0.2,6.7,268.0
105,HE,7,2800,89.0,8.1,0.2,6.7,268.0
105,HE,7,2900,89.0,8.1,0.2,6.7,268.0
105,HE,7,3000,89.0,8.1,0.2,6.7,268.0
105,HE,7,3100,89.0,8.1,0.2,6.7,268.0
105,HE,7,3200,90.0,8.1,0.2,6.7,268.0
105,HE,7,3300,93.0,8.5,0.2,7.1,264.0
105,HE,7,3400,97.0,8.8,0.2,7.4,261.0
105,HE,7,3500,101.0,9.1,0.2,7.8,257.0
105,HE,7,3600,105.0,9.4,0.2,8.2,254.0
105,HE,7,3700,109.0,9.8,0.3,8.6,250.0
105,HE,7,3800,114.0,10.1,0.3,9.0,247.0
105,HE,7,3900,118.0,10.5,0.3,9.4,243.0
105,HE,7,4000,122.0,10.8,0.3,9.8,241.0
105,HE,7,4100,127.0,11.2,0.3,10.2,237.0
105,HE,7,4200,132.0,11.5,0.4,10.7,234.0
105,HE,7,4300,136.0,11.9,0.4,11.1,230.0
105,HE,7,4400,141.0,12.3,0.4,11.6,227.0
105,HE,7,4500,146.0,12.6,0.4,12.1,224.0
105,HE,7,4600,151.0,13.0,0.5,12.6,220.0
105,HE,7,4700,156.0,13.4,0.5,13.1,217.0
105,HEA,1,100,89.0,2.8,0.0,5.1,331.0
105,HEA,1,200,89.0,2.8,0.0,5.1,331.0
105,HEA,1,300,89.0,2.8,0.0,5.1,331.0
105,HEA,1,400,89.0,2.8,0.0,5.1,331.0
105,HEA,1,500,102.0,3.2,0.0,5.9,326.0
105,HEA,1,600,123.0,3.9,0.0,7.2,317.0
105,HEA,1,700,145.0,4.6,0.1,8.5,308.0
105,HEA,1,800,168.0,5.3,0.1,9.9,300.0
105,HEA,1,900,191.0,6.0,0.1,11.4,291.0
105,HEA,1,1000,215.0,6.7,0.1,12.9,283.0
105,HEA,1,1100,245.0,7.6,0.2,14.7,273.0
105,HEA,1,1300,340.0,10.0,0.3,20.6,248.0
105,HEA,1,1600,574.0,15.6,0.7,34.6,199.0
105,HEA,2,200,89.0,3.5,0.0,5.2,322.0
105,HEA,2,300,89.0,3.5,0.0,5.2,322.0
105,HEA,2,400,89.0,3.5,0.0,5.2,322.0
105,HEA,2,500,89.0,3.5,0.0,5.2,322.0
105,HEA,2,600,89.0,3.5,0.0,5.2,322.0
105,HEA,2,700,92.0,3.6,0.0,5.4,321.0
105,HEA,2,800,106.0,4.2,0.1,6.3,313.0
105,HEA,2,900,121.0,4.7,0.1,7.2,307.0
105,HEA,2,1000,135.0,5.3,0.1,8.1,300.0
105,HEA,2,1100,150.0,5.9,0.1,9.1,293.0
105,HEA,2,1200,165.0,6.5,0.1,10.1,286.0
105,HEA,2,1300,181.0,7.1,0.1,11.1,279.0
105,HEA,2,1400,197.0,7.7,0.2,12.1,272.0
105,HEA,2,1500,214.0,8.3,0.2,13.2,266.0
105,HEA,2,1600,385.0,12.7,0.5,23.2,223.0
105,HEA,2,1700,405.0,13.5,0.5,24.5,216.0
105,HEA,2,2200,470.0,16.2,0.8,29.4,194.0
105,HEA,2,2800,552.0,19.6,1.1,35.8,169.0
105,HEA,3,200,89.0,4.1,0.0,5.3,314.0
105,HEA,3,300,89.0,4.1,0.0,5.3,314.0
105,HEA,3,400,89.0,4.1,0.0,5.3,314.0
105,HEA,3,500,89.0,4.1,0.0,5.3,314.0
105,HEA,3,600,89.0,4.1,0.0,5.3,314.0
105,HEA,3,700,89.0,4.1,0.0,5.3,314.0
105,HEA,3,800,89.0,4.1,0.0,5.3,314.0
105,HEA,3,900,89.0,4.1,0.0,5.3,314.0
105,HEA,3,1000,100.0,4.6,0.1,6.0,308.0
105,HEA,3,1100,111.0,5.0,0.1,6.7,303.0
105,HEA,3,1200,122.0,5.5,0.1,7.4,297.0
105,HEA,3,1300,133.0,6.0,0.1,8.2,291.0
105,HEA,3,1400,145.0,6.5,0.1,8.9,286.0
105,HEA,3,1500,157.0,7.1,0.1,9.7,279.0
105,HEA,3,1600,169.0,7.6,0.2,10.5,273.0
105,HEA,3,1700,181.0,8.1,0.2,11.4,268.0
105,HEA,3,1800,194.0,8.7,0.2,12.2,262.0
105,HEA,3,1900,206.0,9.2,0.2,13.1,256.0
105,HEA,3,2400,372.0,14.8,0.6,23.5,205.0
105,HEA,3,3200,435.0,18.2,1.0,29.2,179.0
105,HEA,4,200,89.0,4.9,0.1,5.5,305.0
105,HEA,4,300,89.0,4.9,0.1,5.5,305.0
105,HEA,4,400,89.0,4.9,0.1,5.5,305.0
105,HEA,4,500,89.0,4.9,0.1,5.5,305.0
105,HEA,4,600,89.0,4.9,0.1,5.5,305.0
105,HEA,4,700,89.0,4.9,0.1,5.5,305.0
105,HEA,4,800,89.0,4.9,0.1,5.5,305.0
105,HEA,4,900,89.0,4.9,0.1,5.5,305.0
105,HEA,4,1000,89.0,4.9,0.1,5.5,305.0
105,HEA,4,1100,89.0,4.9,0.1,5.5,305.0
105,HEA,4,1200,89.0,4.9,0.1,5.5,305.0
105,HEA,4,1300,92.0,5.0,0.1,5.7,303.0
105,HEA,4,1400,100.0,5.4,0.1,6.2,299.0
105,HEA,4,1500,108.0,5.9,0.1,6.7,293.0
105,HEA,4,1600,116.0,6.3,0.1,7.3,288.0
105,HEA,4,1700,124.0,6.7,0.1,7.9,283.0
105,HEA,4,1800,133.0,7.2,0.1,8.5,278.0
105,HEA,4,1900,142.0,7.6,0.2,9.1,273.0
105,HEA,4,2000,150.0,8.1,0.2,9.7,268.0
105,HEA,4,2100,159.0,8.5,0.2,10.3,264.0
105,HEA,4,2200,169.0,9.0,0.2,11.0,258.0
105,HEA,4,2300,178.0,9.5,0.3,11.7,253.0
105,HEA,4,2400,187.0,9.9,0.3,12.4,249.0
105,HEA,4,2500,197.0,10.4,0.3,13.1,244.0
105,HEA,4,3000,280.0,14.0,0.6,18.7,212.0
105,HEA,4,4300,465.0,22.4,1.4,32.7,151.0
105,HEA,5,200,89.0,5.8,0.1,5.8,294.0
105,HEA,5,300,89.0,5.8,0.1,5.8,294.0
105,HEA,5,400,89.0,5.8,0.1,5.8,294.0
105,HEA,5,500,89.0,5.8,0.1,5.8,294.0
105,HEA,5,600,89.0,5.8,0.1,5.8,294.0
105,HEA,5,700,89.0,5.8,0.1,5.8,294.0
105,HEA,5,800,89.0,5.8,0.1,5.8,294.0
105,HEA,5,900,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1000,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1100,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1200,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1300,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1400,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1500,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1600,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1700,89.0,5.8,0.1,5.8,294.0
105,HEA,5,1800,92.0,6.0,0.1,6.0,291.0
105,HEA,5,1900,98.0,6.4,0.1,6.5,287.0
105,HEA,5,2000,105.0,6.7,0.1,6.9,283.0
105,HEA,5,2100,111.0,7.1,0.1,7.4,279.0
105,HEA,5,2200,117.0,7.5,0.2,7.9,274.0
105,HEA,5,2300,124.0,7.9,0.2,8.4,270.0
105,HEA,5,2400,130.0,8.3,0.2,8.9,266.0
105,HEA,5,2500,137.0,8.7,0.2,9.4,262.0
105,HEA,5,2600,144.0,9.1,0.2,9.9,257.0
105,HEA,5,2700,151.0,9.5,0.3,10.5,253.0
105,HEA,5,2800,158.0,10.0,0.3,11.0,248.0
105,HEA,5,2900,166.0,10.4,0.3,11.6,244.0
105,HEA,5,3000,173.0,10.8,0.3,12.2,241.0
105,HEA,5,3100,181.0,11.3,0.4,12.8,236.0
105,HEA,5,3200,188.0,11.7,0.4,13.4,232.0
105,HEA,5,3400,211.0,12.9,0.5,15.0,221.0
105,HEA,5,4200,291.0,17.1,0.8,21.3,187.0
105,HEA,6,200,89.0,6.7,0.1,6.1,283.0
105,HEA,6,300,89.0,6.7,0.1,6.1,283.0
105,HEA,6,400,89.0,6.7,0.1,6.1,283.0
105,HEA,6,500,89.0,6.7,0.1,6.1,283.0
105,HEA,6,600,89.0,6.7,0.1,6.1,283.0
105,HEA,6,700,89.0,6.7,0.1,6.1,283.0
105,HEA,6,800,89.0,6.7,0.1,6.1,283.0
105,HEA,6,900,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1000,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1100,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1200,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1300,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1400,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1500,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1600,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1700,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1800,89.0,6.7,0.1,6.1,283.0
105,HEA,6,1900,89.0,6.7,0.1,6.1,283.0
105,HEA,6,2000,89.0,6.7,0.1,6.1,283.0
105,HEA,6,2100,89.0,6.7,0.1,6.1,283.0
105,HEA,6,2200,89.0,6.7,0.1,6.1,283.0
105,HEA,6,2300,90.0,6.8,0.1,6.2,282.0
105,HEA,6,2400,95.0,7.1,0.1,6.6,279.0
105,HEA,6,2500,100.0,7.5,0.2,7.0,274.0
105,HEA,6,2600,105.0,7.8,0.2,7.4,271.0
105,HEA,6,2700,111.0,8.2,0.2,7.9,267.0
105,HEA,6,2800,116.0,8.6,0.2,8.3,263.0
105,HEA,6,2900,121.0,8.9,0.2,8.8,260.0
105,HEA,6,3000,127.0,9.3,0.2,9.2,255.0
105,HEA,6,3100,132.0,9.7,0.3,9.7,251.0
105,HEA,6,3200,138.0,10.1,0.3,10.2,247.0
105,HEA,6,3300,144.0,10.5,0.3,10.7,243.0
105,HEA,6,3400,150.0,10.9,0.3,11.2,240.0
105,HEA,6,3500,156.0,11.3,0.3,11.7,236.0
105,HEA,6,3600,162.0,11.7,0.4,12.2,232.0
105,HEA,6,3700,169.0,12.1,0.4,12.8,228.0
105,HEA,6,3800,175.0,12.5,0.4,13.3,225.0
105,HEA,6,4100,288.0,17.6,0.9,20.4,183.0
105,HEA,6,4700,305.0,19.2,1.0,22.7,172.0
105,HEA,7,200,89.0,8.1,0.2,6.7,268.0
105,HEA,7,300,89.0,8.1,0.2,6.7,268.0
105,HEA,7,400,89.0,8.1,0.2,6.7,268.0
105,HEA,7,500,89.0,8.1,0.2,6.7,268.0
105,HEA,7,600,89.0,8.1,0.2,6.7,268.0
105,HEA,7,700,89.0,8.1,0.2,6.7,268.0
105,HEA,7,800,89.0,8.1,0.2,6.7,268.0
105,HEA,7,900,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1000,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1100,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1200,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1300,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1400,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1500,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1600,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1700,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1800,89.0,8.1,0.2,6.7,268.0
105,HEA,7,1900,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2000,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2100,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2200,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2300,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2400,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2500,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2600,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2700,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2800,89.0,8.1,0.2,6.7,268.0
105,HEA,7,2900,89.0,8.1,0.2,6.7,268.0
105,HEA,7,3000,89.0,8.1,0.2,6.7,268.0
105,HEA,7,3100,89.0,8.1,0.2,6.7,268.0
105,HEA,7,3200,90.0,8.1,0.2,6.7,268.0
105,HEA,7,3300,93.0,8.5,0.2,7.1,264.0
105,HEA,7,3400,97.0,8.8,0.2,7.4,261.0
105,HEA,7,3500,101.0,9.1,0.2,7.8,257.0
105,HEA,7,3600,105.0,9.4,0.2,8.2,254.0
105,HEA,7,3700,109.0,9.8,0.3,8.6,250.0
105,HEA,7,3800,114.0,10.1,0.3,9.0,247.0
105,HEA,7,3900,118.0,10.5,0.3,9.4,243.0
105,HEA,7,4000,122.0,10.8,0.3,9.8,241.0
105,HEA,7,4100,127.0,11.2,0.3,10.2,237.0
105,HEA,7,4200,132.0,11.5,0.4,10.7,234.0
105,HEA,7,4300,136.0,11.9,0.4,11.1,230.0
105,HEA,7,4400,141.0,12.3,0.4,11.6,227.0
105,HEA,7,4500,146.0,12.6,0.4,12.1,224.0
105,HEA,7,4600,151.0,13.0,0.5,12.6,220.0
105,HEA,7,4700,156.0,13.4,0.5,13.1,217.0
155,HEA,3G,3446,160.0,18.4,1.0,0.0,0.0
155,HEA,3G,3456,165.0,18.6,1.0,0.0,0.0
155,HEA,3G,3470,170.0,18.8,1.1,0.0,0.0
155,HEA,3G,3487,175.0,19.0,1.1,0.0,0.0
155,HEA,3G,3506,180.0,19.2,1.1,0.0,0.0
155,HEA,3G,3528,185.0,19.4,1.1,0.0,0.0
155,HEA,3G,3552,190.0,19.6,1.2,0.0,0.0
155,HEA,3G,3577,195.0,19.8,1.2,0.0,0.0
155,HEA,3G,3604,200.0,20.0,1.2,0.0,0.0
155,HEA,3G,3633,205.0,20.2,1.2,0.0,0.0
155,HEA,3G,3662,210.0,20.4,1.2,0.0,0.0
155,HEA,3G,3694,215.0,20.7,1.3,0.0,0.0
155,HEA,3G,3726,220.0,20.9,1.3,0.0,0.0
155,HEA,3G,3759,225.0,21.1,1.3,0.0,0.0
155,HEA,3G,3793,230.0,21.3,1.4,0.0,0.0
155,HEA,3G,3828,235.0,21.5,1.4,0.0,0.0
155,HEA,3G,3863,240.0,21.8,1.4,0.0,0.0
155,HEA,3G,3899,245.0,22.0,1.5,0.0,0.0
155,HEA,3W,3928,160.0,19.4,1.1,0.0,0.0
155,HEA,3G,3936,250.0,22.2,1.5,0.0,0.0
155,HEA,3W,3942,165.0,19.6,1.2,0.0,0.0
155,HEA,3W,3959,170.0,19.8,1.2,0.0,0.0
155,HEA,3G,3973,255.0,22.4,1.5,0.0,0.0
155,HEA,3W,3979,175.0,20.0,1.2,0.0,0.0
155,HEA,3W,4002,180.0,20.2,1.2,0.0,0.0
155,HEA,3G,4010,260.0,22.7,1.5,0.0,0.0
155,HEA,3W,4027,185.0,20.4,1.2,0.0,0.0
155,HEA,3G,4048,265.0,22.9,1.6,0.0,0.0
155,HEA,3W,4056,190.0,20.6,1.3,0.0,0.0
155,HEA,3W,4084,195.0,20.8,1.3,0.0,0.0
155,HEA,3G,4086,270.0,23.1,1.6,0.0,0.0
155,HEA,3W,4116,200.0,21.1,1.3,0.0,0.0
155,HEA,3G,4125,275.0,23.3,1.6,0.0,0.0
155,HEA,3W,4149,205.0,21.3,1.4,0.0,0.0
155,HEA,3G,4163,280.0,23.6,1.7,0.0,0.0
155,HEA,3W,4183,210.0,21.5,1.4,0.0,0.0
155,HEA,3G,4202,285.0,23.8,1.7,0.0,0.0
155,HEA,3W,4218,215.0,21.7,1.4,0.0,0.0
155,HEA,3G,4241,290.0,24.0,1.7,0.0,0.0
155,HEA,3W,4255,220.0,21.9,1.4,0.0,0.0
155,HEA,3G,4280,295.0,24.3,1.8,0.0,0.0
155,HEA,3W,4293,225.0,22.2,1.5,0.0,0.0
155,HEA,3G,4319,300.0,24.5,1.8,0.0,0.0
155,HEA,3W,4331,230.0,22.4,1.5,0.0,0.0
155,HEA,3G,4358,305.0,24.7,1.8,0.0,0.0
155,HEA,3W,4371,235.0,22.6,1.5,0.0,0.0
155,HEA,3G,4397,310.0,25.0,1.9,0.0,0.0
155,HEA,3W,4411,240.0,22.9,1.6,0.0,0.0
155,HEA,3G,4437,315.0,25.2,1.9,0.0,0.0
155,HEA,3W,4452,245.0,23.1,1.6,0.0,0.0
155,HEA,3G,4476,320.0,25.4,1.9,0.0,0.0
155,HEA,3W,4493,250.0,23.3,1.6,0.0,0.0
155,HEA,3G,4515,325.0,25.7,2.0,0.0,0.0
155,HEA,3W,4535,255.0,23.5,1.7,0.0,0.0
155,HEA,3G,4554,330.0,25.9,2.0,0.0,0.0
155,HEA,3W,4578,260.0,23.8,1.7,0.0,0.0
155,HEA,3G,4593,335.0,26.1,2.0,0.0,0.0
155,HEA,3W,4620,265.0,24.0,1.7,0.0,0.0
155,HEA,3G,4631,340.0,26.4,2.1,0.0,0.0
155,HEA,3W,4663,270.0,24.2,1.8,0.0,0.0
155,HEA,3G,4670,345.0,26.6,2.1,0.0,0.0
155,HEA,3W,4707,275.0,24.5,1.8,0.0,0.0
155,HEA,3G,4708,350.0,26.9,2.2,0.0,0.0
155,HEA,3G,4746,355.0,27.1,2.2,0.0,0.0
155,HEA,3W,4750,280.0,24.7,1.8,0.0,0.0
155,HEA,3G,4784,360.0,27.3,2.2,0.0,0.0
